ID;AAU Navn;Formaal;Delsystemer (komponenter);Leverandør (egenudvikling/ekstern (+ navn på leverandør);Produktnavn;Version (nuværende);Programområde;Programformand;BRM;Systemforvalter (eksisterende);Systemejer;Organisatorisk enhed;Eksisterende styregruppe;Forretningskritisk [Lav/Mellem/Høj];Faste licens og serviceaftaler art: 147148;Tilkøb nye licenser art: 147148;Ekstra service- og supportaftaler art: 147041;Vedligehold art: 147041;Udviklingsmidler art: 147041;I alt;Kommentarer (økonomi);SLA (URL);Backlog (link);Antal brugere;Service (fra Service katalog);Kontrakt;Supportgruppe i SUP;Klient afhængigheder;Eksiserende dokumentation (URL m.m.);Overvågning (er det etableret?);IFS driftspersoner;Hosting;URL;Brugervendt?;T/uge i ITS;T/uge AAU (-ITS);T/uge Ekstern;Bemærkning;Sidst Editeret af ;Dato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Applikationsservere - Linux;Linux-baserede servere hvor forskere og studerende afvikler programmer til forskning og undervisning samt laver LaTeX rapporter og artikler. Findes for CS, HST, Mat, ES, HUM;;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 10";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Applikationsservere - Windows;Windows-baserede servere hvor forskere og studerende afvikler programmer til forskning og undervisning;;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 5";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Arealweb/Arealdatabase;;;;;;Administration;MW;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Artifactory;[SPØRG PL/JKC];;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Autocad;;;;;;Administration;MW;;;;TF;;;100.000;;;;;100.000;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;BasisAdmin;;;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;CalMoodle;Kalenderværktøj til Moodle;;Egenudvikling;;;Uddannelse & Læring;;;Lillian Buus, Brian Møller, Tina Funck;;ITS;;Høj;;;;;;;;;;;;;;;;;;ITS;https://www.moodle.aau.dk/calmoodle/;;AIU: 10;;;;BM;27-11-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Captia;Sags og dokument håndtering. Bruges også som AAUs arkivsystem;Workzone Server, Captia klient, iBox;Scanjour;Workzone Content Server;2014 SP2;Administration;MW;KK;Mads Sommer Jensen(forretning)/ Mikael M. Hansen (teknisk);Leder af Ledelsessekretariatet;Ledelsessekretariatet;Ja;Høj;970.000;;;;600.000;1.570.000;;;https://jira.srv.aau.dk/jira/browse/CAP/ + sager i Captia (fra ESDH-Sekr);~900 stk;N/A;Ja, ligger i Captia;Måske i Administrative systemer;Ja, skal bruge IE version 9 (ActiveX komponent) + nogle special konfigurationer (local intranet zone);Nej;?;Kenneth Badsgaard Andersen;ITS;http://esdh.aau.dk/cap;Ja;"AIU: 5
IFS: 5
SUP:?";;;Der arbejdes med at introducere flere klient typer (så flere - og nyere - browsere kan benyttes). Der arbejdes også på at anskaffe Workzone Servides således at det bliver muligt at integrere til systemet;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;CMS/Infoglue (nyt webdesign);Redigering og visning af AAU hjemmesider;;Open source;InfoGlue2;2.9.9.6;Forskning & Formidling;;;Web-team;ITS?;ITS;;Høj;Open source + evt. konsulent timer ved KnowIt;;;;;;;;https://jira.srv.aau.dk/jira/secure/RapidBoard.jspa?rapidView=54&view=planning&selectedIssue=WEB-35;Et par hundrede superbrugere (webredaktører)samt mange indholdsredaktører. Dertil kommer brugere af selve hjemmesiderne;http://www.servicekatalog.its.aau.dk/web-og-kommunikationsvaerktoejer//#infoglue-hjemmesider;;Nej;editrering: Anbefalet Chrome eller Firefox (nyeste versioner), + IE version 8 og frem;http://www.webdesign.aau.dk (brugerrettet guide), https://jira.srv.aau.dk/confluence/display/IG/Infoglue (Confluence);;Anders Hertz;ITS;http://www.infoglue2.portal.aau.dk;;"AIU: 60
IFS: 3";;;Opgradering til version 3.3 er i gang. Forventet: Juni 2015;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;CMS/Infoglue (Under udfasning);Redigering og visning af AAU hjemmesider;;Open source;InfoGlue1;2.9.9.2;Forskning & Formidling;;;Web-team;ITS?;ITS;;Mellem (pga. under udfasning);Open source + evt. konsulent timer ved KnowIt;;;;;;;;Ingen - der udvikles ikke til denne version mere. Se backlog link for IG2 ovenfor;Som ovenfor - dog er tallet faldende pga. udfasning;;;Nej;editrering: Anbefalet Chrome eller Firefox (nyeste versioner), + IE version 8 og frem;www.infoglueguide.portal.aau.dk (brugerguide)  https://secure.aub.aau.dk/wiki/aauportal/index.php/Content_Management_System (dokumentation);;Anders Hertz;ITS;http://www.infoglue.portal.aau.dk;;"AIU: 30
IFS: 1";;;Webteam arbejder målrettet med omlægning og nedlukning af sites i det gamle design/gamle InfoGlue i samarbejde med decentrale redaktører. Ambition: Oktober 2015, evt. med ganske få sites tilbageværende i det gamle (uden support og med et minimum af drift) indtil alternativ løsning er fundet for disse.;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
