ID;AAU Navn;Formaal;Delsystemer (komponenter);Leverandør (egenudvikling/ekstern (+ navn på leverandør);Produktnavn;Version (nuværende);Programområde;Programformand;BRM;Systemforvalter (eksisterende);Systemejer;Organisatorisk enhed;Eksisterende styregruppe;Forretningskritisk [Lav/Mellem/Høj];Faste licens og serviceaftaler art: 147148;Tilkøb nye licenser art: 147148;Ekstra service- og supportaftaler art: 147041;Vedligehold art: 147041;Udviklingsmidler art: 147041;I alt;Kommentarer (økonomi);SLA (URL);Backlog (link);Antal brugere;Service (fra Service katalog);Kontrakt;Supportgruppe i SUP;Klient afhængigheder;Eksiserende dokumentation (URL m.m.);Overvågning (er det etableret?);IFS driftspersoner;Hosting;URL;Brugervendt?;T/uge i ITS;T/uge AAU (-ITS);T/uge Ekstern;Bemærkning;Sidst Editeret af ;Dato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;FI&D;;;;;;Administration;MW;KK;;;ØA;;;128.000;;;;2.442.000;2.570.000;;;;;;;;;;;PAM/GGL;;;;"AIU: 10
IFS: 9";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Fildeling;Upload af store filer samt filer der skal adgangsbeskyttes via CAS;;Egenudviklet;;;ITS (internt);;;;;;;;;;;;;;;;;Backend inddatering: Ansatte på AAU. Visning: Besøgende på AAU's hjemmesider, hvortil der er uploadet filer via files.;;;Nej;;https://secure.aub.aau.dk/wiki/aauportal/index.php/Fildeling (Gammelt og uopdateret);;;;http://files.portal.aau.dk/filesharing/;;AIU: ?;;;Udfasningsplan ønskes: Links til filer lagt op til files bruges mange steder på hjemmesider f.eks. http://www.intern.aau.dk/ansatte/ledelsen-AAU/direktionen/direktionsmoeder-2013/. Der mangler et alternativ før der kan lukkes for files.portal;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Filservice;Personlige og fælles fildrev for alle studerende og ansatte til administration, forskning og undervisning;;;;;Forskning & Formidling;;;;ITS;ITS;;Høj;;;;;;;;;;Alle ansatte og studerende;;;;;;;FHJ, JOG, BNK, JC;ITS;;Ja;"AIU: 0
IFS: 10";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;FirstClass;;;;;;Uddannelse & Læring;;;Lillian Buus, Brian Møller, Tina Funck, Nienke W. Larsen;;ITS;;Mellem;59.000;;;;;59.000;Systemsoftware til e-læring;;;;http://www.servicekatalog.its.aau.dk/uddannelses-it-medier-og-laboratorier//#firstclass-undervisning, http://www.servicekatalog.its.aau.dk/uddannelses-it-medier-og-laboratorier//#firstclass-support, http://www.servicekatalog.its.aau.dk/uddannelses-it-medier-og-laboratorier//#firstclass-oprettelse;;;;;;CS, FHJ;ITS;;Ja;"AIU: 5
IFS: 0,2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;FTP;Upload af data i forskningssammenhæng for HST, ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Google Analytics;At opsamle og kunne levere statistik på brugen af AAU's hjemmesider;Knyttes til universitetets hjemmesider. I InfoGlue gør vi dette inden publicering af det enkelte site. Er knyttet sammen med Google Webmaster Tools;Google;Google Analytics;Altid nyeste;Forskning & Formidling;;;Webteam;;;;Mellem;;;;;;;Gratis;;;Mange webredaktører har adgang samt internt i AIU;;;;;;;;;www.google.com/analytics/;;AIU: 5;;;;KRN;15-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Google Forms;Formularer til indlejring på hjemmesider;Indlejres i InfoGlue via Iframes;Google;;;Forskning & Formidling;;;Webteam;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 5;;;;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Google Tag Manager;Alt rumme alle tags, der skal udløses på den enkelte hjemmeside;Tilknyttes alle sites i InfoGlue;Google;Google Tag Manager;Altid nyeste;Forskning & Formidling;;;Webteam;;;;Mellem;;;;;;;Gratis;;;Primært webteamet samt AUB;;;;;;;;;http://www.google.com/tagmanager/;;AIU: 5;;;;KRN;15-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Google Webmaster Tools;Overvågning af hjemmesider i forhold til fejl, hacking etc.;Tilknyttes alle sites i InfoGlue, er knyttet sammen med Google Analytics;Google;Google Webmaster Tools;Altid nyeste;Forskning & Formidling;;;Webteam;;;;Mellem;;;;;;;Gratis;;;Primært webteamet. Øvrige brugere har adgang til data via Google Analytics pga. integration;;;;;;;;;https://www.google.com/webmasters/tools/;;AIU: 5;;;;KRN;15-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Housing af servere;Housing af servere for forskere, dvs. strøm, køl og netværk for maskiner administreret af forskere selv. Variant med adgang til udstyr med eller uden ledsaget adgang i forskellige maskinstuer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
SUP:0
IFS: 2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;HPC;Installation og servicering af lokale cluster beregningsløsninger. Teknologisk rådgivning om platform og anvendelse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 25";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Infoskærme;AVC Infoskærme;;AVC;;;;;;;;;;Lav;;;;;;;;;;;;;;;;;JNI;ITS;;;"AIU: 0
IFS: 2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Inteum;Patentstyring;;;;;Administration;;;;;;;Høj;;;;;;;;;;;;;;;;;CS;ITS;;;"AIU: 0
IFS: 1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;IRIS;;;Egenudvikling;;;Studieadministrationen;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 150
IFS: 3";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;iStads;;;;;;Studieadministrationen;Henrik Brohus;;Pernille Refstrup;Lone Vestergård;SF;;Høj;;;;;;;;;;;;;;;;;;;;;AIU: 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Itstart;Gl system til selvoprettelse af brugere for studerende;;Egenudvikling;;;ITS (internt);;;Birthe Riis Kennedy;;ITS;;;;;;;;;;;;;;;;;;;;;;;AIU: 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Jira;Issuetracking;Jira, Confluence + diverse komponenter (Jira Agile, Zephyr, Balsamic MockUP);Atlassian m.fl.;Jira;6.2.5;ITS (internt);;;Henrik Larsen / Lars Anderson;Kirsten Hjerrild;ITS;Ja (AIU Ledelsen);;21.000;;;;;21.000;System der anvendes i Anvendt IT og Udvikling /ITS;;https://jira.srv.aau.dk/jira/browse/AIUTOOLING;60;;;;;;;AHZ;ITS;https://jira.srv.aau.dk;Nej;AIU: 2;;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;Kaltura v. DeIC;Vi er ved at hjælpe MIL med at komme fra en tidligere HUM-IKT/ITS community edition Kaltura til en kommerciel udgave af Kaltura som DeIC hoster.;;DeIC;Kaltura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sup:0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;KOSMO;Kursusoprettelsessystem til Moodle;;Egenudvikling;;;Uddannelse & Læring;;;Lillian Buus, Brian Møller, Tina Funck;;ITS;;Høj;;;;;;;;;;;;;;;;;;ITS;kosmo.moodle.aau.dk;;AIU: 10;;;;BM;27-11-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Licensservere;Licensservere for ca. 60 forskellige softwareprodukter fx AutoCAD, Matlab, Maple;;;;;;;;;ITS;ITS;;Mellem;;;;;;;;;;;;;;;;;JNI;ITS;;;"AIU: 0
IFS: 10";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Lync/Skype for Business;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;POC, tidsforbrug er via projekt leverancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Mahara;online værktøj til portfolio- og gruppearbejde;;Open-source;;;Uddannelse & Læring;;;Lillian Buus, Brian Møller, Tina Funck, Nienke W. Larsen;;ITS;;Lav;;;;;;;;;;~30000;, http://www.servicekatalog.its.aau.dk/uddannelses-it-medier-og-laboratorier//#mahara-undervisning;;;https://wiki.mahara.org/index.php/System_Administrator%27s_Guide/Requirements#Web_Browser;;;;ITS;http://mahara.aau.dk;;AIU: 4;;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Mail og kalender (Exchange);Mail og kalender for alle ansatte og studerende;;;;;;;;;ITS;ITS;;Høj;;;;;;;;;;Alle ansatte og studerende;;;;;;;EHN, DB, SV;ITS;;;"AIU: 0
IFS: 100
SUP: ?";;;Arbejde med større overdragelse af requests til support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Mailinglister;Mailman-baserede maillinglister med mulighed for self-service for at dække scenarier hvor Exchange ikke er velegnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;MdocFM;Facility management system;;NTI CAD;;;Administration;MW;;Rasmus Wernlund;TF;TF;;Høj;;;;;650.000;650.000;;;;;;;;;;;KBA;ITS;;Ja;"AIU: 0
IFS: 1
SUP: <1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Minuba;Sagstyringssytem til registrering af udestående og vedligehol på bygninger;;;;;Administration;MW;;;TF;TF;;;80.000;;;;;80.000;;;;;;;;;;;KBA;ITS;;Ja;"AIU: 0
IFS: 0,5";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Moodle;;Moodle, Kosmo, CalMoodle;Open-source;Moodle;;Uddannelse & Læring;;JCB;Lillian Buus, Brian Møller, Tina Funck, Nienke W. Larsen;;ITS;Ja;Høj;;;;;;;;;https://jira.srv.aau.dk/jira/browse/MOODLE/;~30000;, http://www.servicekatalog.its.aau.dk/uddannelses-it-medier-og-laboratorier//#moodle-undervisning, http://www.servicekatalog.its.aau.dk/uddannelses-it-medier-og-laboratorier//#moodle-support;;;https://docs.moodle.org/dev/Moodle_2.7_release_notes#Browser_support;;;MPB;ITS;https://www.moodle.aau.dk/;Ja;"AIU: 75
IFS: 0,5
SUP:?";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Mossad;Brugeroprettelse og adgangstildeling på Oracle systemer;;Egenudvikling;;;ITS (internt);;;;;ITS;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;MS SQL;Databasekapacitet til lagring og bearbejdning af data, ofte som backend til andre systemer og applikationer;;;;;;;;;ITS;ITS;;Høj;;;;;;;;;;;;;;;;;TM, KBA;ITS;;Nej, typisk ikke;"AIU: 0
IFS: 40";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;MySQL;"Databasekapacitet til lagring og bearbejdning af forskningsdata eller data i forbindelse med projektarbejde.

Findes også i stor grad som delkomponent til diverse webting hvor de er ""indlejeret"" på webserverne.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS:1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Navision - Studentersamfundet;Navision for Studentersamfundet;;Navisupport;;;;;;;Studentersamfundet;;;Mellem;;;;;;;;;;;;;;;;;KBA;ITS;;;"AIU: 0
IFS: 1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Navision - Aalborg Universitetsforlag;Navision for Aalborg Universitetsforlag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 0,2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Nemrefusion (SNIF);Integration mellem sygefravær system og virk.dk mht at sende refusion for sygdom og barsel/forælderorlov til virk.dk;;Logistisc;SNIF;;Administration;MW;;Helle Eskildsen;HR-afdelingen;;;;;;;;;;;;;;;;;;;;;;;;AIU: 5;;;;HE;29-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;Netværk - særligt LAB-netværk for ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;IFS: 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Netværk for brugere;Trådløst og kablet netværk for brugere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 60";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;Netværksinfrastruktur;Fiberforbindelser og netværksudstyr der binder AAU sammen på tværs af lokationer og gør netværk tilgængeligt for servere.;;Cisco, F5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nej;IFS: 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Netwise;Omstillings central til telefoni;;;;;ITS (internt);;;;TF;TF;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Office 365 eksperimentiel;Cloudservice med mange forskellige produkter;;;;;;;;;ITS;;;Mellem;;;;;;;;;;;;;;;;;KST;Microsoft;;Ja;"AIU: 0
IFS: 5
SUP:0";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Oracle Applikationsservere;Drift af applikationsservere til understøttelse af bl.a. egenudviklede systemer;;Oracle;WebLogic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nej;IFS: 10;;;Medregner ikke den tid som bruges på bl.a. ØSS og STADS som ere opgivet ved disse.;MPB;17-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Oracle databaser;Drift af databaser til understøttelse af bl.a. egenudviklede systemer;;Oracle;Oracle Database;12c;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nej, typisk ikke;IFS: 15;;;Medregner ikke den tid som bruges på bl.a. ØSS og STADS som ere opgivet ved disse.;MPB;17-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;ordbog.aau.dk;AAU terminologiliste dansk-engelsk;;Atira?;;;Forskning & Formidling;;;Kirsten Gammelgaard?;AAU Language and Communication Services;AAU Language and Communication Services;;Lav;;;;;;;;;;;;;;;;;;;http://www.ordbog.aau.dk;;AIU: 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Overvågning;Overvågning af systemhelbred for ITS og source systemer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
SUP:0
IFS: 20";;;Mange yderligere timer igennem projektleverance. Angivet timetal er forventet for 2016 hvor der stadigvæk er behov for at etablere overvågning for mange systemer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;PDS;PersonDataSystemet;;;;3.0.20;ITS (internt);;;Nienke;HR-afdelingen (som dog ikke vil vedkende sig systemejerskabet);ITS;;;;;;;;;;;;;;;;;;;;;;;AIU: 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;PeopleXS;E-rekkruttering;PeopleXS, stillinger.aau.dk, lokal logon side;Talent Soft;PeopleXS;;Administration;MW;;Trine Bovbjerg / Karl Henrik Hedegaard;;HR;Nej;;;;;235.500;14.500;250.000;;;https://jira.srv.aau.dk/jira/browse/PEOP;;;;;;;Nej, men et pilot projekt starter i efteråret 2015 (enkelte komponenter er overvåget);PL;SaaS + ITS;;Ja;AIU: 2;;;;MMH;20-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Personaleinfo;Viser en personprofil for personer på AAU.;;;;;ITS (internt);;;;;ITS;;Mellem;;;;;;;;;https://jira.srv.aau.dk/jira/browse/PINFO/;;;;;;;;;;http://personprofil.aau.dk;;AIU: 2;;;Skal denne være et selvstændigt produkt eller er det en del af PDS. Brugerne binder den meget sammen med PDS. Men det er vel sit eget produkt.;MMH;28-01-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Personlige websider;Diverse systemer og teknologier som stiller personlige hjemmesider til rådighed for ansatte og studerende. Findes som enkelte (ikke konsoliderede) systemer for de fleste institutter/afdelinger.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 2";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;PhDmanager;Phd administation;PhdWeb, Windows Klient, NT Service;SDU + egenudvikling;Custom;;Forskning & Formidling;;KK;;;?;;Mellem;;;;;;;;;;;;;;;;;;;;;"AIU: 10
IFS: 0,2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;PostGRE SQL;"Databasekapacitet til lagring og bearbejdning af forskningsdata eller data i forbindelse med projektarbejde.

Er dedikeret komponent til Moodle.

Findes også i som delkomponent til diverse webting hvor de er ""indlejeret"" på webserverne.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Primo ;(bibliotekssystem);;;;;Forskning & Formidling;;;Kasper Løvschall, AUB;Niels Henrik Gylstorff?;AUB;;;248.000;;;;43.000;291.000;;;;;;;;;;;;;http://primo.aub.aau.dk/;;AIU: ?;;;;CLA;09-06-1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Print for ØSS og STADS;System til at printe direkte fra ØSS og STADS til printere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nej;"AIU: 0
IFS: 0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Print og kopi;Print og kopi på printere og kopimaskiner.;;;;;;;;;;;;Høj;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS:2
SUP:?";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
